
=== Session started at 2026-02-17 23:31:06.792982 ===
[23:31:08.462] Selected: 1c1d, Score: 0, Nodes: 13113
[23:31:11.241] Selected: 1d1e, Score: 0, Nodes: 29312
[23:31:13.506] Selected: 3a4b, Score: 0, Nodes: 77916
[23:31:16.066] Selected: 7c7d, Score: 0, Nodes: 85189
[23:31:25.470] Selected: 2c2d, Score: -200, Nodes: 20669
[23:31:27.771] Selected: 4a3b, Score: -200, Nodes: 31465
[23:31:34.426] Selected: P*2c, Score: -200, Nodes: 153013
[23:31:52.446] Selected: 2c2d, Score: -200, Nodes: 60568
[23:31:55.926] Selected: P*2c, Score: -200, Nodes: 25951
[23:32:04.583] Selected: 8c8d, Score: -200, Nodes: 126546
[23:32:09.937] Selected: 8d8e, Score: -200, Nodes: 135153
[23:32:20.378] Selected: 3c3d, Score: -200, Nodes: 156255
[23:32:26.565] Selected: 3d3e, Score: -200, Nodes: 189917
[23:32:34.986] Selected: 3e3f, Score: -200, Nodes: 100187
[23:32:38.673] Selected: P*3a, Score: -200, Nodes: 147958
[23:32:56.172] Selected: 4c4d, Score: -200, Nodes: 181052
[23:33:05.407] Selected: 5c5d, Score: -200, Nodes: 134570
[23:33:09.303] Selected: 2a3c, Score: -200, Nodes: 164861
[23:33:16.012] Selected: 4b4c, Score: -100, Nodes: 148385
[23:33:47.126] Selected: 2c2d, Score: -200, Nodes: 182587
[23:34:00.708] Selected: 3c2e, Score: -600, Nodes: 113637
[23:34:21.569] Selected: 3b3c, Score: 0, Nodes: 78712
[23:34:24.734] Selected: 3c2c, Score: 0, Nodes: 67711
[23:34:33.141] Selected: P*7f, Score: 0, Nodes: 146010
[23:34:38.749] Selected: 3a3b, Score: -200, Nodes: 150776
[23:34:53.019] Selected: 2c3d, Score: -300, Nodes: 169641
[23:35:01.947] Selected: P*6h, Score: -500, Nodes: 160918
[23:35:09.826] Selected: 2e1g+, Score: -900, Nodes: 166040
[23:35:19.565] Selected: P*7g, Score: -1300, Nodes: 267877
[23:35:27.854] Selected: 1e1f, Score: -1500, Nodes: 246825
[23:35:31.225] Selected: 1a1f, Score: -1300, Nodes: 67843
[23:35:38.061] Selected: L*4g, Score: -1700, Nodes: 382843
[23:35:44.378] Selected: 4g4h+, Score: -1900, Nodes: 146812
[23:35:50.216] Selected: 7a6b, Score: -2400, Nodes: 309394
[23:35:57.307] Selected: 4b5c, Score: -2400, Nodes: 248677
[23:36:04.376] Selected: 3d3c, Score: -2600, Nodes: 205970
[23:36:41.354] Selected: 8a7c, Score: -2500, Nodes: 459112
[23:36:52.251] Selected: 2d2e, Score: -2500, Nodes: 360256
[23:37:12.058] Selected: 4d4e, Score: -2500, Nodes: 205563
[23:37:15.827] Selected: 2b5e, Score: -1800, Nodes: 78088
[23:37:44.355] Selected: 4d4e, Score: -2500, Nodes: 446421
[23:37:49.721] Selected: 8b7b, Score: -2900, Nodes: 102632
[23:38:07.005] Selected: 4e4f, Score: -2500, Nodes: 89762
[23:38:14.989] Selected: 4f4g+, Score: -2200, Nodes: 97524
[23:38:18.301] Selected: P*5h, Score: -3000, Nodes: 97413
[23:38:22.157] Selected: 9c9d, Score: -3300, Nodes: 116950
[23:38:27.633] Selected: 6a7b, Score: -4500, Nodes: 107772
[23:38:33.559] Selected: L*4a, Score: -4700, Nodes: 161779
[23:38:40.826] Selected: 2b7g+, Score: -4200, Nodes: 88847
[23:38:51.196] Selected: S*3h, Score: -4100, Nodes: 285815
[23:39:00.092] Selected: 3h2i+, Score: -4100, Nodes: 123023
[23:39:09.520] Selected: 4a4f, Score: -3900, Nodes: 128402
[23:39:14.958] Selected: P*1d, Score: -3700, Nodes: 116862
[23:39:21.624] Selected: N*6c, Score: -3900, Nodes: 91765
[23:39:27.671] Selected: 4f4g+, Score: -4100, Nodes: 50230
[23:39:33.475] Selected: 6c5e, Score: -4700, Nodes: 238792
[23:39:41.413] Selected: 7c6e, Score: -5300, Nodes: 360579
[23:39:49.655] Selected: 3d4d, Score: -5100, Nodes: 94262
[23:40:03.193] Selected: 5c4b, Score: -5300, Nodes: 261266
[23:40:09.912] Selected: 6e5g+, Score: -5900, Nodes: 180109
[23:40:13.753] Selected: 4b4c, Score: -6500, Nodes: 113947
[23:40:21.113] Selected: 6b6c, Score: -6300, Nodes: 187718
[23:40:29.769] Selected: 4d3e, Score: -6100, Nodes: 283276
[23:40:32.877] Selected: 4c5b, Score: -6200, Nodes: 133081
[23:40:40.030] Selected: N*4e, Score: -6100, Nodes: 121131
[23:40:45.548] Selected: 6c7d, Score: -6500, Nodes: 118181
[23:40:54.611] Selected: N*4a, Score: -6900, Nodes: 358788
[23:41:10.561] Selected: 7d6e, Score: -6900, Nodes: 365172
[23:41:14.916] Selected: 4e5g+, Score: -5700, Nodes: 96652
[23:41:25.066] Selected: 5a6a, Score: -7500, Nodes: 597390
[23:41:38.705] Selected: 7b8b, Score: -7300, Nodes: 312862
[23:41:58.445] ERROR: No move returned
